"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"DIGIKEY_LOW";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNO";"SUPPLIER";"VALUE";
"R32";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"541-1KGTR-ND";"541-1KGDKR-ND";"";"Vishay Dale";"CRCW06031K0JNEA";"";"";"";"";"";
"R50";"49.9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"541-49.9HTR-ND";"541-49.9HDKR-ND";"";"Vishay Dale";"CRCW060349R9FKEA";"";"";"";"";"";
"R51";"49.9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"541-49.9HTR-ND";"541-49.9HDKR-ND";"";"Vishay Dale";"CRCW060349R9FKEA";"";"";"";"";"";
"R52";"49.9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"541-49.9HTR-ND";"541-49.9HDKR-ND";"";"Vishay Dale";"CRCW060349R9FKEA";"";"";"";"";"";
"R53";"49.9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"541-49.9HTR-ND";"541-49.9HDKR-ND";"";"Vishay Dale";"CRCW060349R9FKEA";"";"";"";"";"";
"R54";"49.9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"541-49.9HTR-ND";"541-49.9HDKR-ND";"";"Vishay Dale";"CRCW060349R9FKEA";"";"";"";"";"";
"R55";"49.9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"541-49.9HTR-ND";"541-49.9HDKR-ND";"";"Vishay Dale";"CRCW060349R9FKEA";"";"";"";"";"";
"R56";"49.9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"541-49.9HTR-ND";"541-49.9HDKR-ND";"";"Vishay Dale";"CRCW060349R9FKEA";"";"";"";"";"";
"R57";"49.9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"541-49.9HTR-ND";"541-49.9HDKR-ND";"";"Vishay Dale";"CRCW060349R9FKEA";"";"";"";"";"";
"SYS";"Green";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"475-1410-2-ND";"475-1409-6-ND";"";"OSRAM Opto Semiconductors Inc";"LG Q971-KN-1";"";"";"";"";"";
"TR1";"HST2038DR";"HST2038DR";"H2038";"";"";"";"";"";"";"";"";"";"Dragino";"";
"U$1";"MIC2005A";"MIC2005A";"SOT-23-5";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"YSSR05";"YSSR05";"YSSR05";"High Speed Protection Diod Array";"";"";"";"";"";"";"";"";"";"YSSR05";
"U$3";"";"LDO_REGL";"SOT23";"";"AP2120N-3.3TRG1DITR-ND ";"";"";"Diodes Inc";"AP2120N-3.3TRG1";"";"";"";"";"";
"U3";"DRAGINO_HE";"DRAGINO_HE";"DRAGINO_HE";"Dragino HE Module";"";"";"";"";"";"";"";"";"";"";
"USB";"Green";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"475-1410-2-ND";"475-1409-6-ND";"";"OSRAM Opto Semiconductors Inc";"LG Q971-KN-1";"";"";"";"";"";
"WAN";"Green";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"475-1410-2-ND";"475-1409-6-ND";"";"OSRAM Opto Semiconductors Inc";"LG Q971-KN-1";"";"";"";"";"";
"WLAN";"Green";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"475-1410-2-ND";"475-1409-6-ND";"";"OSRAM Opto Semiconductors Inc";"LG Q971-KN-1";"";"";"";"";"";
"X2";"PN87520-S";"PN87520-S";"PN87520-S";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X3";"";"MKDSN1,5/3-5,08";"MKDSN1,5/3-5,08";"MKDSN 1,5/ 3-5,08 Printklemme";"";"";"";"";"SMKDSN1,5/3-5,08";"1792904";"70R0299";"";"";"";
